Iteration	Posterior	Likelihood	Prior	birth	ef[1]	ef[2]	ef[3]	em[1]	em[2]	em[3]	extinction_eic	extinction_key	extinction_nig	extinction_per	extinction_rates[1]	extinction_rates[2]	extinction_rates[3]	extinction_rates[4]	extinction_rates[5]	extinction_rates[6]	extinction_rates[7]	extinction_rates[8]	extinction_rates[9]	female_relative[1]	female_relative[2]	female_relative[3]	global_female_extirp	global_male_extirp	is_extinction_eic_nig_different	is_extinction_key_per_different	male_relative[1]	male_relative[2]	male_relative[3]	root_state_freq[1]	root_state_freq[2]	root_state_freq[3]	root_state_freq[4]	root_state_freq[5]	root_state_freq[6]	root_state_freq[7]	root_state_freq[8]	root_state_freq[9]	sampling_fraction	stateBirths[1]	stateBirths[2]	stateBirths[3]	stateBirths[4]	stateBirths[5]	stateBirths[6]	stateBirths[7]	stateBirths[8]	stateBirths[9]
20000	-135.6447	-129.0815	-6.563109	14.37374	0.0166697	0.0610441	0.0317539	0.0246263	0.0118197	0.13686	0.5578465	0.2625021	0.5578465	0.1287499	0.12875	0.207229	3.20621	1.05839	0.557846	0.557846	0.156974	0.102171	0.262502	0.15228	0.557645	0.290075	0.1094677	0.1733056	0	1	0.142098	0.0682015	0.789701	0.31227	0.189028	0.0834902	0.0360125	0.0262803	0.0145906	0.181253	0.0288897	0.128185	0.415255	1.59708	1.59708	1.59708	1.59708	1.59708	1.59708	1.59708	1.59708	1.59708
21000	-133.4975	-125.4144	-8.083168	14.23449	0.00124638	0.0500966	0.0530962	0.0114305	0.223814	0.143299	0.1996687	0.08226437	0.1996687	0.08226437	0.0822644	1.79737	0.321741	0.00514551	0.199669	0.199669	0.991863	1.93924	0.0822644	0.0119341	0.479673	0.508393	0.1044392	0.3785432	0	0	0.0301961	0.591251	0.378553	0.116947	0.258531	0.169082	0.060514	0.0348139	0.0564484	0.0871853	0.153319	0.0631588	0.5111817	1.58161	1.58161	1.58161	1.58161	1.58161	1.58161	1.58161	1.58161	1.58161
22000	-128.4985	-127.8215	-0.6769388	13.27848	0.0315888	0.0184757	0.0104381	0.0699896	0.0120277	0.0464773	0.5658607	0.1215605	0.4557382	0.1215605	0.12156	0.435708	0.0236745	0.0867112	0.565861	0.455738	0.0554968	0.0821737	0.12156	0.522106	0.30537	0.172524	0.06050268	0.1284947	1	0	0.544689	0.0936051	0.361706	0.0935665	0.0969702	0.0335595	0.0593421	0.071147	0.313513	0.050879	0.182568	0.0984546	0.5567007	1.47539	1.47539	1.47539	1.47539	1.47539	1.47539	1.47539	1.47539	1.47539
23000	-131.6142	-127.0682	-4.54605	11.91592	0.0481904	0.0314692	0.122322	0.168296	0.00391875	0.0314462	0.2528008	0.07439032	0.2528008	0.07439032	0.0743903	1.02749	1.75136	0.86398	0.252801	0.252801	0.750403	0.171724	0.0743903	0.238588	0.155802	0.60561	0.2019815	0.2036606	0	0	0.826353	0.0192416	0.154405	0.00855279	0.113409	0.37565	0.000182092	0.0455302	0.19481	0.0824154	0.113491	0.0659598	0.6381151	1.32399	1.32399	1.32399	1.32399	1.32399	1.32399	1.32399	1.32399	1.32399
24000	-133.1205	-128.8283	-4.29223	11.54759	0.197276	0.0672434	0.0889878	0.048734	0.0788641	0.0990275	0.1694218	0.09095697	0.08640168	0.1072211	0.107221	0.910371	0.0987205	0.0864224	0.169422	0.0864017	1.09541	0.616819	0.090957	0.558054	0.190218	0.251728	0.3535077	0.2266256	1	1	0.215042	0.347993	0.436965	0.0879205	0.0147915	0.336136	0.000308383	0.0315669	0.0490913	0.144025	0.3322	0.00396013	0.4844044	1.28307	1.28307	1.28307	1.28307	1.28307	1.28307	1.28307	1.28307	1.28307
25000	-130.8141	-122.7905	-8.023599	15.06562	0.0429261	0.105939	0.0658982	0.0913417	0.00524965	0.165459	0.1037073	0.1450303	0.1037073	0.1450303	0.14503	1.02058	2.27563	0.786751	0.103707	0.103707	0.16057	0.0160015	0.14503	0.199876	0.493283	0.306841	0.2147635	0.2620505	0	0	0.348565	0.020033	0.631402	0.0546578	0.0164905	0.250198	0.136094	0.0544647	0.212774	0.0844898	0.0683862	0.122445	0.6418962	1.67396	1.67396	1.67396	1.67396	1.67396	1.67396	1.67396	1.67396	1.67396
26000	-129.6187	-126.384	-3.234714	11.35283	0.0178962	0.0141286	0.235394	0.114635	0.146101	0.0231964	0.2745963	0.1557046	0.2745963	0.1557046	0.155705	0.0526036	0.221819	0.337538	0.274596	0.274596	1.46337	0.181184	0.155705	0.066922	0.0528332	0.880245	0.2674186	0.2839322	0	0	0.40374	0.514563	0.081697	0.00958217	0.0616192	0.112295	0.0285268	0.175224	0.246655	0.0357184	0.30422	0.0261595	0.5915886	1.26143	1.26143	1.26143	1.26143	1.26143	1.26143	1.26143	1.26143	1.26143
27000	-128.4502	-128.0158	-0.4343605	12.47012	0.0129587	0.00896193	0.0307808	0.0464194	0.014414	0.0931009	0.1125467	0.1188024	0.1125467	0.1188024	0.118802	0.0400517	0.00196332	1.26225	0.112547	0.112547	0.613731	0.0669717	0.118802	0.245889	0.170051	0.58406	0.0527014	0.1539343	0	0	0.301554	0.0936371	0.604809	0.179512	0.0439594	0.0396644	0.0790414	0.0494428	0.195483	0.0263055	0.258819	0.127772	0.4710071	1.38557	1.38557	1.38557	1.38557	1.38557	1.38557	1.38557	1.38557	1.38557
28000	-131.0713	-127.1392	-3.932177	13.56381	0.0299337	0.0180931	0.0321556	0.0743138	0.0219548	0.0541408	0.09798548	0.313358	0.09798548	0.8829951	0.882995	0.0974287	0.0926678	1.4162	0.0979855	0.0979855	0.564034	0.916222	0.313358	0.37332	0.225649	0.401031	0.08018231	0.1504093	0	1	0.494077	0.145967	0.359956	0.00500544	0.271715	0.0107769	0.124241	0.0562812	0.123949	0.0511047	0.158159	0.198768	0.6421364	1.50709	1.50709	1.50709	1.50709	1.50709	1.50709	1.50709	1.50709	1.50709
29000	-130.8192	-126.9563	-3.862914	9.927944	0.0231207	0.0558995	0.0505349	0.0577869	0.0396225	0.105995	0.05929043	0.06781806	0.05929043	0.5583203	0.55832	0.267293	0.496389	0.780042	0.0592904	0.0592904	0.3836	4.31106	0.0678181	0.178462	0.431473	0.390065	0.1295551	0.2034042	0	1	0.284099	0.194797	0.521104	0.00663353	0.16493	0.0799574	0.0700094	0.00519507	0.596545	0.0108217	0.0452749	0.0206325	0.6529059	1.1031	1.1031	1.1031	1.1031	1.1031	1.1031	1.1031	1.1031	1.1031
30000	-129.4357	-123.1469	-6.288784	14.21778	0.0202886	0.0078937	0.0595064	0.0319989	0.0614875	0.152685	0.5694599	0.009548826	0.03019753	0.009548826	0.00954883	2.4582	0.137026	0.135213	0.56946	0.0301975	0.100961	1.61023	0.00954883	0.231371	0.0900195	0.67861	0.08768868	0.2461716	1	0	0.129986	0.249775	0.620239	0.0162835	0.0708639	0.0421963	0.0466527	0.237955	0.204594	0.19498	0.157077	0.0293974	0.647468	1.57975	1.57975	1.57975	1.57975	1.57975	1.57975	1.57975	1.57975	1.57975
31000	-135.2139	-122.709	-12.50496	16.03652	0.0388783	0.0550652	0.0738827	0.136667	0.146274	0.183314	0.4168779	0.08336404	0.01855104	0.08336404	0.083364	0.621432	1.15148	2.01996	0.416878	0.018551	2.13232	0.00208201	0.083364	0.231658	0.328109	0.440233	0.1678263	0.4662548	1	0	0.293117	0.313721	0.393162	0.145164	0.17119	0.0252255	0.102417	0.0761308	0.0401377	0.294918	0.128399	0.016418	0.6364491	1.78184	1.78184	1.78184	1.78184	1.78184	1.78184	1.78184	1.78184	1.78184
32000	-131.7363	-125.6813	-6.055	11.68744	0.0301377	0.0109727	0.0500445	0.0544981	0.252843	0.00487535	0.1955638	0.1589348	0.1955638	0.1589348	0.158935	2.10722	1.65451	0.511661	0.195564	0.195564	0.902748	1.12164	0.158935	0.33062	0.120374	0.549006	0.09115486	0.3122164	0	0	0.174552	0.809832	0.0156153	0.0247674	0.10064	0.138192	0.0473962	0.174982	0.0529984	0.178585	0.278789	0.00364978	0.6419121	1.2986	1.2986	1.2986	1.2986	1.2986	1.2986	1.2986	1.2986	1.2986
33000	-131.9285	-125.3267	-6.601786	12.74138	0.17897	0.00351546	0.0179317	0.0355181	0.00329519	0.0916917	0.0438965	0.1730345	0.1715438	0.2234361	0.223436	0.716692	1.70087	0.833317	0.0438965	0.171544	0.511821	2.49501	0.173035	0.892988	0.0175407	0.0894718	0.2004172	0.130505	1	1	0.272159	0.0252496	0.702592	0.279427	0.285041	0.157329	0.0513987	0.0334734	0.00645259	0.091711	0.0940979	0.00106869	0.5709618	1.41571	1.41571	1.41571	1.41571	1.41571	1.41571	1.41571	1.41571	1.41571
34000	-136.1171	-125.792	-10.32502	14.89291	0.0556657	0.0533509	0.0559785	0.0454968	0.0113967	0.0647949	0.04627254	0.5769154	0.04627254	0.5769154	0.576915	2.08808	0.319482	1.32492	0.0462725	0.0462725	2.11191	2.41613	0.576915	0.337378	0.323349	0.339274	0.1649951	0.1216885	0	0	0.373879	0.0936551	0.532466	0.0583046	0.064697	0.0517212	0.271787	0.0729054	0.0716326	0.0993577	0.291587	0.0180066	0.6050992	1.65477	1.65477	1.65477	1.65477	1.65477	1.65477	1.65477	1.65477	1.65477
35000	-139.5753	-125.3499	-14.22541	13.27192	0.0359482	0.00444645	0.0717167	0.187049	0.282553	0.120934	0.1620344	0.278793	0.1620344	0.278793	0.278793	1.9355	1.77088	0.296643	0.162034	0.162034	0.446066	5.35554	0.278793	0.320647	0.039661	0.639692	0.1121113	0.5905353	0	0	0.316744	0.47847	0.204786	0.0425369	0.0258621	0.0729442	0.0207663	0.0861552	0.572263	0.0308469	0.0893398	0.0592853	0.6115625	1.47466	1.47466	1.47466	1.47466	1.47466	1.47466	1.47466	1.47466	1.47466
36000	-131.8665	-126.2237	-5.642815	10.68054	0.0379895	0.0407276	0.082533	0.0123735	0.0880773	0.123703	0.4618353	0.06734323	0.06490355	0.06734323	0.0673432	0.80692	2.50994	1.03085	0.461835	0.0649035	0.328838	2.15604	0.0673432	0.235594	0.252574	0.511832	0.1612501	0.2241541	1	0	0.0552009	0.392932	0.551867	0.114708	0.0420724	0.230371	0.073653	0.0916678	0.225064	0.0358643	0.0690016	0.117598	0.6137282	1.18673	1.18673	1.18673	1.18673	1.18673	1.18673	1.18673	1.18673	1.18673
37000	-133.3054	-122.3697	-10.93575	18.92675	0.0237753	0.041532	0.192117	0.00157543	0.0137393	0.0606986	0.2804157	0.0354114	0.2804157	0.0354114	0.0354114	3.085	0.0819514	1.07973	0.280416	0.280416	0.417974	0.0125872	0.0354114	0.0923582	0.161337	0.746305	0.2574244	0.07601334	0	0	0.0207257	0.180748	0.798526	0.0873319	0.0369057	0.0516262	0.219149	0.074535	0.376837	0.0385019	0.0356613	0.0794523	0.5068923	2.10297	2.10297	2.10297	2.10297	2.10297	2.10297	2.10297	2.10297	2.10297
38000	-134.1814	-123.7008	-10.48059	14.47741	0.19215	0.0142784	0.0520026	0.0114936	0.0181168	0.125581	0.6972589	0.1256373	0.1428287	0.480895	0.480895	0.458982	0.789568	2.42055	0.697259	0.142829	1.13601	1.93368	0.125637	0.743525	0.0552502	0.201224	0.258431	0.155191	1	1	0.0740609	0.116739	0.8092	0.351915	0.0693818	0.0698824	0.0447546	0.126329	0.239608	0.00934578	0.00743557	0.081348	0.5449107	1.6086	1.6086	1.6086	1.6086	1.6086	1.6086	1.6086	1.6086	1.6086
39000	-127.6687	-126.4383	-1.230307	11.92559	0.0190207	0.019825	0.0148071	0.0767949	0.0822617	0.0733663	0.07127192	0.01411412	0.07127192	0.04639742	0.0463974	0.522114	0.706772	0.285386	0.0712719	0.0712719	0.357857	0.758486	0.0141141	0.354515	0.369505	0.27598	0.05365277	0.2324229	0	1	0.33041	0.353931	0.315659	0.0293881	0.104046	0.177269	0.0442738	0.264258	0.158474	0.069652	0.00949735	0.143143	0.5864854	1.32507	1.32507	1.32507	1.32507	1.32507	1.32507	1.32507	1.32507	1.32507
40000	-131.3861	-122.5996	-8.786496	15.0549	0.0364552	0.0283082	0.0770825	0.00715584	0.123754	0.0534104	0.2350737	0.06587299	0.2810732	0.06587299	0.065873	1.1075	1.55833	0.467683	0.235074	0.281073	0.802906	2.26994	0.065873	0.257005	0.19957	0.543424	0.1418459	0.1843202	1	0	0.0388229	0.671408	0.28977	0.18697	0.277193	0.0408708	0.0360193	0.251103	0.0308231	0.0915779	0.0590813	0.0263619	0.6368118	1.67277	1.67277	1.67277	1.67277	1.67277	1.67277	1.67277	1.67277	1.67277
41000	-135.0008	-126.0672	-8.933592	14.77915	0.0699186	0.0264734	0.0460832	0.063899	0.0538908	0.0277353	0.05099777	0.3908761	0.05099777	0.2526812	0.252681	0.0927873	2.31504	0.753348	0.0509978	0.0509978	0.790815	2.94632	0.390876	0.490742	0.185811	0.323447	0.1424752	0.145525	0	1	0.439093	0.37032	0.190588	0.219961	0.118602	0.179381	0.0452777	0.068499	0.100123	0.203144	0.0290969	0.0359156	0.5956728	1.64213	1.64213	1.64213	1.64213	1.64213	1.64213	1.64213	1.64213	1.64213
42000	-135.2194	-126.3565	-8.862812	14.4701	0.0230391	0.0710288	0.112198	0.0160008	0.0341667	0.0579156	1.007531	0.4242008	0.5641777	0.4242008	0.424201	0.964941	2.53805	1.44473	1.00753	0.564178	0.0590376	0.564984	0.424201	0.111696	0.344355	0.543949	0.2062661	0.1080831	1	0	0.148042	0.316115	0.535843	0.192377	0.213018	0.178892	0.00761922	0.00897035	0.210172	0.0410328	0.0716253	0.0762927	0.5973192	1.60779	1.60779	1.60779	1.60779	1.60779	1.60779	1.60779	1.60779	1.60779
43000	-137.0753	-122.3193	-14.75596	14.54991	0.0380971	0.0352223	0.0651921	0.0705874	0.0509897	0.163954	0.6680638	0.3690075	0.08348802	0.3690075	0.369007	0.750354	2.92953	1.59208	0.668064	0.083488	1.61581	4.27572	0.369007	0.275046	0.254291	0.470662	0.1385115	0.2855316	1	0	0.247214	0.178578	0.574208	0.0550675	0.0584226	0.103337	0.00767002	0.166603	0.33767	0.139963	0.0819251	0.0493425	0.6174377	1.61666	1.61666	1.61666	1.61666	1.61666	1.61666	1.61666	1.61666	1.61666
44000	-129.2944	-126.0058	-3.288641	13.69613	0.0281207	0.0202162	0.0100794	0.0107005	0.00603972	0.0839857	0.2250388	0.0977218	0.2250388	0.001294879	0.00129488	2.05785	0.635203	0.400068	0.225039	0.225039	0.0160378	0.886314	0.0977218	0.481384	0.346072	0.172544	0.05841633	0.1007259	0	1	0.106233	0.059962	0.833805	0.00728505	0.0346878	0.390113	0.0995371	0.300619	0.0120373	0.112097	0.036801	0.00682282	0.5353286	1.52179	1.52179	1.52179	1.52179	1.52179	1.52179	1.52179	1.52179	1.52179
